player_id,player_name,team,position,games_played,toi_seconds,goals,assists,points,shots,hits,blocks,plus_minus,pim,fow,fol,fo_pct,GF,xG_For,Shots_For,HDC_For,Blocks_For,Hits_For,Corsi_For,OZ_Shots_For,NZ_Shots_For,DZ_Shots_For,Rush_Shots_For,ENtoS_For,EXtoEN_For,Giveaways_For,Takeaways_For,Lateral_Move_For,Longitudinal_Move_For,GameScore_For,GA,xG_Against,Shots_Against,HDC_Against,Blocks_Against,Hits_Against,Corsi_Against,OZ_Shots_Against,NZ_Shots_Against,DZ_Shots_Against,Rush_Shots_Against,ENtoS_Against,EXtoEN_Against,Giveaways_Against,Takeaways_Against,Lateral_Move_Against,Longitudinal_Move_Against,GameScore_Against,Corsi_Pct,xG_Pct
8480014,G. Vilardi,WPG,F,55,1117.42,0.38,0.51,0.89,1.98,0.25,0.4,0.0,0.25,0.0,0.0,0.0,2.89,0.19,2.0,0.73,0.4,0.25,3.64,1.98,0.02,0.0,0.0,0.62,0.02,0.78,0.18,8.27,18.52,0.72,3.09,2.4,28.2,5.96,15.71,18.44,55.58,26.95,0.67,0.58,0.0,11.04,1.07,0.0,0.0,20.74,27.14,0.0,6.1,7.83
8480015,O. Tippett,PHI,F,54,986.87,0.33,0.3,0.63,2.65,1.83,0.5,-0.11,0.48,0.0,0.0,0.0,3.0,0.17,2.67,0.52,0.5,1.83,4.91,2.54,0.07,0.06,0.0,1.06,0.15,0.98,0.28,10.93,16.62,0.61,3.26,2.37,25.93,5.67,16.24,20.7,54.3,24.74,0.65,0.54,0.0,11.15,1.24,0.0,0.0,21.66,29.15,0.0,8.42,6.77
8480018,N. Suzuki,MTL,F,56,1247.11,0.32,0.84,1.16,2.11,0.79,0.84,0.45,0.18,0.0,0.0,0.0,3.46,0.18,2.16,0.46,0.84,0.79,4.45,2.09,0.04,0.04,0.0,1.0,0.05,0.88,0.34,13.78,25.96,0.95,3.32,2.49,27.41,6.05,17.93,21.45,56.3,26.0,0.8,0.61,0.0,11.8,0.93,0.0,0.0,20.15,28.31,0.0,7.39,7.07
8480021,J. Studnicka,FLA,F,18,424.28,0.0,0.0,0.0,0.89,1.06,0.33,-0.33,0.22,0.0,0.0,0.0,3.11,0.05,0.89,0.0,0.33,1.06,1.61,0.78,0.11,0.0,0.0,0.5,0.0,0.17,0.11,3.67,2.22,0.1,3.28,2.27,26.06,6.28,12.33,20.61,51.39,24.22,1.11,0.72,0.0,9.83,1.44,0.0,0.0,20.16,25.58,0.0,2.98,2.02
8480023,R. Thomas,STL,F,42,1137.62,0.26,0.52,0.79,1.43,0.17,0.55,-0.07,0.29,0.0,0.0,0.0,2.48,0.13,1.45,0.4,0.55,0.17,2.67,1.31,0.12,0.02,0.0,0.55,0.0,1.38,0.52,4.64,8.93,0.55,3.4,2.16,28.5,5.79,16.29,18.5,55.36,26.83,1.1,0.57,0.0,11.29,1.14,0.0,0.0,21.21,27.56,0.0,4.6,5.78
8480027,J. Robertson,DAL,F,56,1192.79,0.55,0.59,1.14,3.55,0.68,0.39,0.32,0.36,0.0,0.0,0.0,3.36,0.28,3.66,1.05,0.39,0.68,6.29,3.57,0.09,0.0,0.0,1.32,0.05,1.38,0.3,12.39,24.24,0.95,2.79,2.3,27.39,5.79,16.54,25.07,55.14,25.86,0.82,0.71,0.0,11.36,1.07,0.0,0.0,20.7,29.73,0.0,10.36,10.85
8480028,M. Frost,CGY,F,55,921.62,0.22,0.27,0.49,1.75,0.64,0.45,-0.27,0.36,0.0,0.0,0.0,2.51,0.14,1.82,0.49,0.45,0.64,3.11,1.76,0.04,0.02,0.0,0.51,0.0,0.6,0.24,8.21,13.49,0.46,3.02,2.53,29.02,6.02,16.11,19.33,56.56,27.16,1.11,0.75,0.0,11.65,1.0,0.0,0.0,20.31,25.06,0.0,5.34,5.33
8480035,H. Jokiharju,BOS,D,33,1077.82,0.0,0.27,0.27,0.91,0.58,0.79,0.09,0.36,0.0,0.0,0.0,3.36,0.07,0.91,0.0,0.79,0.58,2.73,0.88,0.0,0.03,0.0,0.42,0.03,1.24,0.15,14.52,8.67,0.14,3.03,2.37,29.97,5.88,17.3,21.82,60.18,29.0,0.52,0.45,0.0,12.45,1.09,0.0,0.0,19.71,24.87,0.0,4.49,3.02
8480036,M. Heiskanen,DAL,D,54,1559.5,0.13,0.69,0.81,2.02,0.3,1.83,0.11,0.3,0.0,0.0,0.0,3.44,0.14,2.02,0.17,1.83,0.3,4.43,1.83,0.0,0.19,0.0,0.76,0.0,1.22,0.59,10.59,16.53,0.7,2.8,2.28,27.44,5.72,16.33,25.13,54.78,25.91,0.83,0.7,0.0,11.22,1.11,0.0,0.0,20.75,30.15,0.0,7.8,5.87
8480039,M. Necas,COL,F,52,1258.73,0.42,0.77,1.19,2.38,1.1,0.37,0.67,0.5,0.0,0.0,0.0,3.9,0.2,2.46,0.67,0.37,1.1,4.83,2.38,0.02,0.06,0.0,0.87,0.02,1.67,0.29,14.7,30.24,0.86,2.58,2.36,27.0,5.71,15.04,20.56,53.65,25.5,0.98,0.52,0.0,10.69,1.19,0.0,0.0,20.56,27.21,0.0,8.58,8.04
